Source	Target	Type
21_2_Blood_0_0	0_2_Lung_0_0	Transmission
21_2_Blood_0_1	0_2_Lung_0_1	Transmission
0_2_Lung_0_1	0_2_Lung_1_0	primary_parent
0_2_Lung_0_1	0_2_Lung_1_0	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_1	primary_parent
0_2_Lung_0_1	0_2_Lung_1_1	recombination_parent_1
0_2_Lung_0_1	0_2_Lung_1_1	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_2	primary_parent
0_2_Lung_0_1	0_2_Lung_1_2	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_3	primary_parent
0_2_Lung_0_0	0_2_Lung_1_3	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_4	primary_parent
0_2_Lung_0_1	0_2_Lung_1_4	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_5	primary_parent
0_2_Lung_0_1	0_2_Lung_1_5	recombination_parent_1
0_2_Lung_0_1	0_2_Lung_1_5	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_6	primary_parent
0_2_Lung_0_1	0_2_Lung_1_6	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_6	recombination_parent_3
0_2_Lung_0_1	0_2_Lung_1_7	primary_parent
0_2_Lung_0_1	0_2_Lung_1_7	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_8	primary_parent
0_2_Lung_0_1	0_2_Lung_1_8	recombination_parent_1
0_2_Lung_0_1	0_2_Lung_1_8	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_8	recombination_parent_3
0_2_Lung_0_1	0_2_Lung_1_9	primary_parent
0_2_Lung_0_1	0_2_Lung_1_9	recombination_parent_1
0_2_Lung_0_1	0_2_Lung_1_9	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_10	primary_parent
0_2_Lung_0_1	0_2_Lung_1_10	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_11	primary_parent
0_2_Lung_0_1	0_2_Lung_1_11	recombination_parent_1
0_2_Lung_0_1	0_2_Lung_1_11	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_12	primary_parent
0_2_Lung_0_1	0_2_Lung_1_12	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_13	primary_parent
0_2_Lung_0_1	0_2_Lung_1_13	recombination_parent_1
0_2_Lung_0_0	0_2_Lung_1_13	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_14	primary_parent
0_2_Lung_0_1	0_2_Lung_1_14	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_15	primary_parent
0_2_Lung_0_1	0_2_Lung_1_15	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_16	primary_parent
0_2_Lung_0_1	0_2_Lung_1_16	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_17	primary_parent
0_2_Lung_0_1	0_2_Lung_1_17	recombination_parent_1
0_2_Lung_0_1	0_2_Lung_1_17	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_17	recombination_parent_3
0_2_Lung_0_1	0_2_Lung_1_18	primary_parent
0_2_Lung_0_1	0_2_Lung_1_18	recombination_parent_1
0_2_Lung_0_1	0_2_Lung_1_18	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_18	recombination_parent_3
0_2_Lung_0_1	0_2_Lung_1_19	primary_parent
0_2_Lung_0_1	0_2_Lung_1_19	recombination_parent_1
0_2_Lung_0_1	0_2_Lung_1_19	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_20	primary_parent
0_2_Lung_0_1	0_2_Lung_1_20	recombination_parent_1
0_2_Lung_0_1	0_2_Lung_1_20	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_21	primary_parent
0_2_Lung_0_1	0_2_Lung_1_21	recombination_parent_1
0_2_Lung_0_1	0_2_Lung_1_21	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_22	primary_parent
0_2_Lung_0_1	0_2_Lung_1_22	recombination_parent_1
0_2_Lung_0_1	0_2_Lung_1_22	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_22	recombination_parent_3
0_2_Lung_0_1	0_2_Lung_1_23	primary_parent
0_2_Lung_0_1	0_2_Lung_1_23	recombination_parent_1
0_2_Lung_0_1	0_2_Lung_1_23	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_24	primary_parent
0_2_Lung_0_1	0_2_Lung_1_24	recombination_parent_1
0_2_Lung_0_1	0_2_Lung_1_24	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_25	primary_parent
0_2_Lung_0_1	0_2_Lung_1_25	recombination_parent_1
0_2_Lung_0_1	0_2_Lung_1_25	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_26	primary_parent
0_2_Lung_0_1	0_2_Lung_1_26	recombination_parent_1
0_2_Lung_0_1	0_2_Lung_1_26	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_26	recombination_parent_3
0_2_Lung_0_1	0_2_Lung_1_27	primary_parent
0_2_Lung_0_1	0_2_Lung_1_27	recombination_parent_1
0_2_Lung_0_1	0_2_Lung_1_27	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_28	primary_parent
0_2_Lung_0_1	0_2_Lung_1_28	recombination_parent_1
0_2_Lung_0_0	0_2_Lung_1_28	recombination_parent_2
0_2_Lung_0_0	0_2_Lung_1_28	recombination_parent_3
0_2_Lung_0_1	0_2_Lung_1_29	primary_parent
0_2_Lung_0_1	0_2_Lung_1_29	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_30	primary_parent
0_2_Lung_0_1	0_2_Lung_1_30	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_30	recombination_parent_3
0_2_Lung_0_1	0_2_Lung_1_31	primary_parent
0_2_Lung_0_1	0_2_Lung_1_31	recombination_parent_1
0_2_Lung_0_0	0_2_Lung_1_31	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_32	primary_parent
0_2_Lung_0_1	0_2_Lung_1_32	recombination_parent_1
0_2_Lung_0_1	0_2_Lung_1_32	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_33	primary_parent
0_2_Lung_0_1	0_2_Lung_1_33	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_34	primary_parent
0_2_Lung_0_0	0_2_Lung_1_34	recombination_parent_2
0_2_Lung_0_1	0_2_Lung_1_35	primary_parent
